Chemical Name,Chemical ID,CAS RN,Disease Name,Disease ID,Direct Evidence,Inference Network,Inference Score,Reference Count
Streptozocin,D013311,18883-66-4,Alzheimer Disease,MESH:D000544,marker/mechanism,A2M|ACE|ACHE|APOE|APP|ATP5F1A|BACE1|BAX|BCHE|BCL2|BDNF|CALM1|CASP3|CLU|CST3|EIF2S1|ENO1|ESR1|GSK3B|HMOX1|IGF1|IGF1R|IGF2R|IL1B|INS|INSR|LEP|MAPT|MIR100|MIR146A|MIR375|MPO|MTHFR|NOS3|NPY|PLAU|PPARG|PYY|SLC2A4|SOD2|TFAM|TNF|TOMM40|VEGFA,67.22,88
Zinc,D015032,7440-66-6,Alzheimer Disease,MESH:D000544,marker/mechanism,A2M|ACE|ACHE|APOE|APP|ARC|ATP5F1A|BAX|BCL2|BDNF|CALM1|CASP3|CLU|CR1|CYP2D6|EIF2S1|ENO1|ESR1|F2|GSK3B|HFE|HMOX1|IDE|IGF1|IGF1R|IGF2|IL1B|INS|INSR|LEP|MAPT|MIR100|MIR146A|MIR296|MIR375|MPO|NECTIN2|NOS3|NPY|PGRMC1|PLAU|PPARG|PRNP|PSEN1|PTK2B|SLC30A4|SLC30A6|SOD2|SPRED2|TF|TNF|TOMM40|TPI1|VEGFA,64.50,97
Aluminum Chloride,D000077410,,Alzheimer Disease,MESH:D000544,marker/mechanism,ACHE|APP|BACE1|BAX|BCHE|BCL2|BDNF|CASP3|CRH|GSK3B|HMOX1|IGF1|IL1B|INS|MAPT|MPO|PSEN2|SOD2|TF|TNF|TREM2|VEGFA,62.07,67
Glucose,D005947,50-99-7,Alzheimer Disease,MESH:D000544,marker/mechanism,A2M|ACE|ACHE|ADAMTS1|APOE|APP|ATP5F1A|BAX|BCHE|BCL2|CALM1|CASP3|EIF2S1|ENO1|EPHA1|ESR1|GAPDHS|GSK3B|HMOX1|IDE|IGF1|IGF1R|IGF2R|IL1B|INS|INSR|LEP|MAOB|MAPT|MIR146A|MPO|NOS3|NPY|PGRMC1|PLAU|PPARG|PRNP|PSEN1|PSEN2|PYY|SLC2A4|SOD2|TFAM|TNF|TREM2|TSPAN14|VEGFA,48.66,93
Fluorides,D005459,,Alzheimer Disease,MESH:D000544,marker/mechanism,ACHE|APOE|APP|BAX|BCHE|BCL2|BDNF|CASP3|CST3|GSK3B|IL1B|MAPT|MPO|NOS3|PPARG|SOD2|TFAM|TNF,48.17,64
Hydrogen Peroxide,D006861,7722-84-1,Alzheimer Disease,MESH:D000544,marker/mechanism,ACE|AMFR|APH1B|APOE|APP|ATP5F1A|BACE1|BAX|BCL2|BDNF|BIN1|CALM1|CASP3|CCDC6|CD2AP|CD33|CLU|CR1|CRH|CYP2D6|EIF2S1|ENO1|ESR1|GSK3B|HMOX1|IGF1|IGF1R|IGF2|IL1B|INPP5D|INS|INSR|LEP|MAPT|MIR100|MIR146A|MIR296|MIR505|MIR766|MPO|NCK2|NOS3|PICALM|PLCG2|PPARG|PRNP|PTK2B|SOD2|TF|TFAM|TNF|TPP1|VEGFA|VSNL1|WWOX,47.17,83
27-hydroxycholesterol,C076996,,Alzheimer Disease,MESH:D000544,marker/mechanism,APOE|APP|ARC|BACE1|ESR1|GSK3B|HMOX1|IGF1|IL1B|LEP|MAPT|NOS3|PPARG|VEGFA,44.42,60
Nitric Oxide,D009569,10102-43-9,Alzheimer Disease,MESH:D000544,marker/mechanism,ACE|APOE|APP|BAX|BCL2|BDNF|CALM1|CASP3|CRH|ESR1|F2|HMOX1|IL1B|INS|LEP|MPO|NOS3|PPARG|SOD2|TNF|VEGFA,42.02,68
Cadmium,D002104,7440-43-9,Alzheimer Disease,MESH:D000544,marker/mechanism,A2M|ABCA7|ABI3|ACE|ACHE|ADAM10|APH1B|APOC1|APOE|APP|ARC|ATP5F1A|BACE1|BAX|BCHE|BCL2|BDNF|BIN1|CALM1|CASP3|CCDC6|CD2AP|CHRNA7|CLU|CRH|CST3|CTR1B|DHCR24|EIF2S1|ENO1|EPHA1|ESR1|F2|GSK3B|HMOX1|IDE|IGF1|IGF1R|IGF2|IGF2R|IL1B|INPP5D|INS|INSR|LEP|MAOB|MAPT|MIR146A|MIR375|MIR505|MPO|MTHFR|NCK2|NCSTN|NECTIN2|NOS3|NPY|PGRMC1|PLAU|PLCG2|PPARG|PRNP|PSEN1|PSEN2|PTK2B|RELN|SLC2A4|SLC30A4|SOD2|SPRED2|TF|TFAM|TNF|TOMM40|TPI1|TPP1|TREM2|VEGFA|VSNL1|WWOX,41.71,109
Galactose,D005690,26566-61-0,Alzheimer Disease,MESH:D000544,marker/mechanism,ACHE|APP|ATP5F1A|BAX|BCL2|BDNF|CASP3|GSK3B|HMOX1|IL1B|MAPT|PLAU|SOD2|TFAM|TNF,41.31,50
Copper,D003300,7440-50-8,Alzheimer Disease,MESH:D000544,marker/mechanism,A2M|ACHE|ADAMTS1|AMFR|APH1B|APOC1|APOE|APP|ARC|ATP5F1A|ATP7|BACE1|BAX|BCHE|BCL2|BDNF|CALM1|CASP3|CASS4|CLU|CST3|CTR1B|CTR1C|CYP2D6|DHCR24|EIF2S1|ENO1|F2|GAPDHS|GSK3B|HFE|HMOX1|IDE|IGF1|IGF1R|IGF2|IGF2R|IL1B|INS|INSR|MAOB|MAPT|MPO|MTHFR|NCSTN|NPY|PGRMC1|PICALM|PLAU|PLCG2|PPARG|PRNP|PSEN1|SLC2A4|SOD2|TF|TFAM|TNF|TPP1|VEGFA|VSNL1,37.41,104
Scopolamine,D012601,,Alzheimer Disease,MESH:D000544,marker/mechanism,ACHE|APP|ARC|BAX|BCL2|BDNF|CASP3|CHRNB2|EIF2S1|HMOX1|IL1B|MAPT|NPY|PSEN2|TNF,37.37,53
"Cholesterol, Dietary",D002791,,Alzheimer Disease,MESH:D000544,marker/mechanism,A2M|ACHE|APOE|APP|BAX|BCL2|CASP3|CRH|ENO1|F2|HMOX1|IGF1|IL1B|INS|INSR|LEP|MAOB|MPO|NOS3|NPY|PPARG|SOD2|TNF|TREM2|VEGFA,35.13,71
Ozone,D010126,10028-15-6,Alzheimer Disease,MESH:D000544,marker/mechanism,A2M|ABCA7|ABI3|ACE|ADAM10|ADAMTS1|AMFR|APOE|APP|ATP5F1A|BAX|BCHE|BCL2|BDNF|BIN1|CALM1|CASP3|CD33|CHRNA7|CLU|DHCR24|DPYSL2|EIF2S1|ENO1|ESR1|F2|GAPDHS|GSK3B|HFE|HMOX1|IDE|IGF1R|IGF2|IGF2R|IL1B|INPP5D|INSR|IQCK|LEP|MAOB|MAPT|MS4A4A|NCSTN|NECTIN2|NOS3|NPY|PILRA|PLAU|PLCG2|PPARG|PRNP|PSEN1|PSEN2|PTK2B|RELN|SLC2A4|SLC30A6|SOD2|SPRED2|TF|TNF|TOMM40|TPI1|TPP1|TREM2|VEGFA|VSNL1|WWOX,34.64,103
Kainic Acid,D007608,487-79-6,Alzheimer Disease,MESH:D000544,marker/mechanism,APOE|ARC|BAX|BCL2|BDNF|CASP3|CLU|GSK3B|HMOX1|IL1B|LEP|NPY|SOD2|TNF|VEGFA,34.24,24
Homocysteine,D006710,454-28-4,Alzheimer Disease,MESH:D000544,marker/mechanism,ACHE|APP|BAX|BCHE|BCL2|BDNF|CASP3|EIF2S1|IL1B|MTHFR|NOS3|SOD2|TNF|TSPAN14|VEGFA,32.91,51
Colchicine,D003078,64-86-8,Alzheimer Disease,MESH:D000544,marker/mechanism,ACE|ACHE|BAX|BCL2|BDNF|CASP3|CLU|CRH|ESR1|F2|GSK3B|HMOX1|IL1B|MAPT|MPO|PTK2B|TNF,32.59,29
Iron,D007501,7439-89-6,Alzheimer Disease,MESH:D000544,marker/mechanism,ACHE|APOE|APP|BAX|BCL2|CASP3|F2|GSK3B|HFE|HMOX1|IGF1|IL1B|LEP|MPO|PPARG|PRNP|SOD2|TF|TNF,32.50,66
Reactive Oxygen Species,D017382,,Alzheimer Disease,MESH:D000544,marker/mechanism,ACHE|APP|BAX|BCL2|CASP3|F2|HMOX1|IGF1|IL1B|INS|LEP|NOS3|PPARG|PRNP|SOD2|TNF|VEGFA,29.42,53
Sodium Fluoride,D012969,7681-49-4,Alzheimer Disease,MESH:D000544,marker/mechanism,ACE|ACHE|APOC1|APOE|ATP5F1A|BAX|BCHE|BCL2|BDNF|CASP3|CHRNA7|CHRNB2|CLU|CST3|EIF2S1|ENO1|ESR1|F2|GAPDHS|GSK3B|HMOX1|IGF1|IL1B|MAOB|MPO|PLCG2|PPARG|SOD2|TFAM|TNF|TPI1|TPP1|TREM2,28.72,41
Particulate Matter,D052638,,Alzheimer Disease,MESH:D000544,marker/mechanism,A2M|ABCA7|ACE|ADAM10|ADAMTS1|APH1B|APOC1|APOE|APP|ARC|ATP5F1A|BACE1|BAX|BCHE|BCL2|BDNF|BIN1|CALM1|CASP3|CCDC6|CD33|CLU|CRH|CST3|CYP2D6|CYP46A1|DHCR24|DPYSL2|EIF2S1|ENO1|EPHA1|ESR1|F2|GSK3B|HFE|HMOX1|IGF1|IGF1R|IGF2|IGF2R|IL1B|INPP5D|INS|LEP|MAOB|MAPT|MIR100|MIR146A|MIR296|MIR375|MIR708|MIR766|MPO|MS4A4A|MTHFR|NCK2|NCSTN|NECTIN2|NOS3|PGRMC1|PILRA|PLAU|PLCG2|PPARG|PRNP|PSEN1|PSEN2|PTK2B|RELN|SLC2A4|SLC30A4|SLC30A6|SOD2|SPRED2|TF|TFAM|TNF|TOMM40|TPI1|TPP1|TREM2|TSPAN14|VEGFA|VSNL1|WWOX,27.63,109
Dichlorodiphenyl Dichloroethylene,D003633,72-55-9,Alzheimer Disease,MESH:D000544,marker/mechanism,ADAMTS1|APOC1|APOE|APP|ARC|BACE1|BAX|BCL2|BDNF|CASP3|CLU|CRH|CYP2D6|ESR1|GSK3B|IGF1|IGF1R|IGF2|IGF2R|IL1B|INS|LEP|MPO|NOS3|PLAU|PPARG|RELN|SLC2A4|SOD2|TF|TFAM|TNF|TOMM40|VEGFA,27.26,69
4-hydroxy-2-nonenal,C027576,29343-52-0,Alzheimer Disease,MESH:D000544,marker/mechanism,APP|ATP5F1A|BAX|BDNF|CASP3|DPYSL2|EIF2S1|ENO1|GSK3B|HMOX1|IGF1|IGF1R|IL1B|NOS3|PILRA|PPARG|SOD2|TNF|TPI1|VEGFA,27.09,53
cupric chloride,C029892,7447-39-4,Alzheimer Disease,MESH:D000544,marker/mechanism,ACHE|APP|ATP5F1A|BACE1|BAX|BCL2|CASP3|CHRNA7|CLU|CYP46A1|DHCR24|DPYSL2|ENO1|ESR1|F2|HMOX1|IGF1|IL1B|INPP5D|MIR146A|PCDH11X|PLAU|PRNP|SOD2|TNF|VEGFA,25.45,58
Serotonin,D012701,50-67-9,Alzheimer Disease,MESH:D000544,marker/mechanism,ACHE|APP|BDNF|CASP3|CRH|GSK3B|IL1B|MAOB|MPO|PPARG|TNF,24.77,51
Acrolein,D000171,107-02-8,Alzheimer Disease,MESH:D000544,marker/mechanism,ADAM10|AMFR|APOE|APP|ATP5F1A|BACE1|BAX|BCL2|BDNF|CALM1|CASP3|DHCR24|EIF2S1|ESR1|HMOX1|IGF2R|IL1B|INS|MAPT|MIR296|MPO|NOS3|PPARG|SLC2A4|SLC30A6|SOD2|TFAM|TNF|TPI1|VEGFA,24.33,73
Celecoxib,D000068579,,Alzheimer Disease,MESH:D000544,marker/mechanism,ACHE|APP|BAX|BCL2|CASP3|CD2AP|DHCR24|GSK3B|HMOX1|IL1B|MPO|NCSTN|PPARG|SOD2|TNF|VEGFA,23.91,53
"Amino Acids, Peptides, and Proteins",D000602,,Alzheimer Disease,MESH:D000544,marker/mechanism,BAX|BCL2|BDNF|CASP3|IL1B|NOS3|TNF|VEGFA,23.08,8
Nitrites,D009573,,Alzheimer Disease,MESH:D000544,marker/mechanism,APP|HMOX1|IL1B|NOS3|SOD2|TFAM|TNF,22.93,44
Air Pollutants,D000393,,Alzheimer Disease,MESH:D000544,marker/mechanism,A2M|ABCA7|ABI3|ACE|ADAM10|ADAMTS1|AMFR|APH1B|APOE|APP|ATP5F1A|BACE1|BAX|BCHE|BCL2|BDNF|BIN1|CALM1|CASP3|CCDC6|CD33|CLU|CRH|CYP2D6|CYP46A1|DHCR24|DPYSL2|EIF2S1|ENO1|EPHA1|ESR1|GSK3B|HFE|HMOX1|IGF1|IGF1R|IGF2|IGF2R|IL1B|INPP5D|INSR|IQCK|LEP|MAOB|MAPT|MIR100|MIR146A|MIR296|MIR708|MPO|MS4A4A|MTHFR|NECTIN2|NOS3|PGRMC1|PILRA|PLAU|PLCG2|PPARG|PRNP|PTK2B|RELN|SLC2A4|SLC30A4|SLC30A6|SOD2|SPRED2|TF|TFAM|TNF|TOMM40|TPI1|TPP1|TREM2|VEGFA|VSNL1|WWOX,22.82,96
Aluminum,D000535,7429-90-5,Alzheimer Disease,MESH:D000544,marker/mechanism,ABCA7|ACE|ACHE|APP|BAX|BCL2|CASP3|CCDC6|ESR1|F2|HMOX1|IDE|IGF1|IL1B|MAPT|MPO|NPY|PICALM|PYY|SLC30A4|SOD2|TF|TNF|TREM2|VEGFA|WWOX,22.27,70
Cysteine Proteinase Inhibitors,D015853,,Alzheimer Disease,MESH:D000544,marker/mechanism,APOE|BAX|BCL2|CASP3|CLU|TNF,22.19,14
Copper Sulfate,D019327,7758-98-7,Alzheimer Disease,MESH:D000544,marker/mechanism,A2M|ABCA7|ACHE|ADAMTS1|APOC1|APOE|APP|ARC|ATP5F1A|BAX|BCL2|BDNF|BIN1|CASP3|CLU|CRH|CST3|CTR1B|DHCR24|EPHA1|ESR1|F2|GSK3B|HMOX1|IGF1|IGF2R|IL1B|INPP5D|IQCK|MPO|MS4A4A|NCSTN|PGRMC1|PLAU|PPARG|PRNP|PSEN1|PSEN2|RELN|SOD2|TF|TFAM|TNF|TPI1|VEGFA|VSNL1|WWOX,19.01,86
Ceramides,D002518,,Alzheimer Disease,MESH:D000544,marker/mechanism,APP|BAX|CASP3|GSK3B|IGF1|TNF,18.63,43
Lipid Peroxides,D008054,,Alzheimer Disease,MESH:D000544,marker/mechanism,APP|CYP2D6|HFE|HMOX1|SOD2,15.70,43
Kynurenine,D007737,343-65-7,Alzheimer Disease,MESH:D000544,marker/mechanism,APP|MAPT|PSEN1|SLC2A4,15.10,50
Glucocorticoids,D005938,,Alzheimer Disease,MESH:D000544,marker/mechanism,BCL2|CASP3|CRH|IL1B|PPARG|TNF,12.76,8
Diglycerides,D004075,,Alzheimer Disease,MESH:D000544,marker/mechanism,BCL2|PPARG|VEGFA,10.45,6
2-butenal,C012796,4170-30-3,Alzheimer Disease,MESH:D000544,marker/mechanism,BAX|BCL2|CASP3|HMOX1|IL1B|TNF,10.06,5
24-hydroxycholesterol,C044563,474-73-7,Alzheimer Disease,MESH:D000544,marker/mechanism,APP|CYP46A1|ESR1,9.95,40
Nitrogen Oxides,D009589,,Alzheimer Disease,MESH:D000544,marker/mechanism,BAX|BCL2|CASP3|TNF,7.99,3
Nitrates,D009566,,Alzheimer Disease,MESH:D000544,marker/mechanism,BAX|BIN1|CALM1|CLU|CST3|DHCR24|IL1B|INPP5D|NCK2|NOS3|PLCG2|PTK2B|TFAM|TNF|TPI1|TSPAN14,7.64,16
Desmosterol,D003897,313-04-2,Alzheimer Disease,MESH:D000544,marker/mechanism,DHCR24|INS,7.54,3
"Metals, Heavy",D019216,,Alzheimer Disease,MESH:D000544,marker/mechanism,BAX|CASP3|CST3|CYP2D6,6.78,5
ethylcholine aziridinium,C044894,63918-37-6,Alzheimer Disease,MESH:D000544,marker/mechanism,ACHE,3.81,3
physostigmine salicylate,C026718,,Alzheimer Disease,MESH:D000544,marker/mechanism,ACHE,3.42,3
Ibotenic Acid,D007051,2552-55-8,Alzheimer Disease,MESH:D000544,marker/mechanism,IL1B,3.23,2
Manganese,D008345,7439-96-5,Alzheimer disease type 2,MESH:C536595,marker/mechanism,,,1
Lithium,D008094,7439-93-2,Alzheimer Disease,MESH:D000544,marker/mechanism|therapeutic,ABCA7|ADAM10|APOE|APP|BAX|BCL2|BDNF|BIN1|CASP3|CD33|CLU|GSK3B|HMOX1|IL1B|INPP5D|MAPT|NOS3|NPY|PICALM|PTK2B|RELN|SOD2|TNF|TPI1|TREM2|VEGFA,48.21,73
Folic Acid,D005492,59-30-3,Alzheimer Disease,MESH:D000544,marker/mechanism|therapeutic,ABCA7|ACE|ACHE|ADAMTS1|APH1B|APOE|APP|ARC|ATP5F1A|BACE1|BAX|BCHE|BCL2|BDNF|BIN1|CALM1|CASP3|CASS4|CCDC6|CHRNB2|CLU|CST3|CYP46A1|DPYSL2|EIF2S1|ENO1|ESR1|F2|GAPDHS|GSK3B|HMOX1|IDE|IGF1|IGF1R|IGF2|IGF2R|IL1B|INPP5D|INS|IQCK|MAOB|MAPT|MIR146A|MIR375|MIR708|MPO|MTHFR|NECTIN2|NOS3|NPY|PCDH11X|PGRMC1|PICALM|PILRA|PLAU|PLCG2|PPARG|PRNP|PSEN1|PTK2B|PYY|SLC30A4|SLC30A6|SOD2|SPRED2|TF|TFAM|TNF|TOMM40|TPI1|TPP1|TREM2|TSPAN14|VEGFA|WWOX,33.22,101
Vitamin B 12,D014805,68-19-9,Alzheimer Disease,MESH:D000544,marker/mechanism|therapeutic,ACHE|APP|BDNF|CASP3|HMOX1|IL1B|MAOB|MTHFR|NPY|PPARG|PSEN1|SOD2|TNF,29.76,59
Melatonin,D008550,73-31-4,Alzheimer Disease,MESH:D000544,therapeutic,ACHE|APP|ARC|ATP5F1A|BACE1|BAX|BCL2|BDNF|CALM1|CASP3|EIF2S1|ESR1|GSK3B|HMOX1|IGF1|IL1B|INS|INSR|LEP|MAPT|MIR100|MPO|NOS3|PPARG|PRNP|PSEN1|SLC2A4|SOD2|TF|TFAM|TNF|VEGFA,64.44,70
Nicotine,D009538,,Alzheimer Disease,MESH:D000544,therapeutic,ACE|ACHE|APOE|APP|ARC|ATP5F1A|BAX|BCL2|BDNF|CALM1|CASP3|CHRNA7|CHRNB2|CRH|CST3|DHCR24|EIF2S1|ENO1|ESR1|F2|GSK3B|HLA-DRB5|HMOX1|IGF1|IGF1R|IGF2|IL1B|INSR|LEP|MPO|NOS3|NPY|PLAU|PPARG|RELN|SOD2|TF|TNF|VEGFA,57.53,80
Curcumin,D003474,458-37-7,Alzheimer Disease,MESH:D000544,therapeutic,ACE|ACHE|AMFR|APOE|APP|BACE1|BAX|BCL2|BDNF|CASP3|CYP2D6|DHCR24|ENO1|ESR1|F2|GSK3B|HMOX1|IGF1|IGF1R|IGF2|IL1B|INS|INSR|MAPT|MIR146A|MPO|NOS3|PLAU|PPARG|RELN|SOD2|TF|TFAM|TNF|VEGFA,54.57,77
notoginsenoside R1,C072936,,Alzheimer Disease,MESH:D000544,therapeutic,APOE|APP|BAX|BCL2|CASP3|ESR1|GSK3B|HMOX1|IDE|IL1B|MPO|NOS3|PLAU|PPARG|PSEN1|TNF,50.91,63
Berberine,D001599,2086-83-1,Alzheimer Disease,MESH:D000544,therapeutic,ACHE|APP|BAX|BCHE|BCL2|CASP3|CST3|ESR1|GSK3B|HMOX1|IGF1|IGF1R|IL1B|INS|MAPT|MPO|PPARG|SLC2A4|SOD2|TNF|VEGFA,47.42,57
Rosiglitazone,D000077154,,Alzheimer Disease,MESH:D000544,therapeutic,ADAMTS1|APOC1|APOE|APP|ATP5F1A|BAX|BCHE|BCL2|CASP3|CLU|CYP2D6|ENO1|ESR1|F2|GAPDHS|GSK3B|HMOX1|IDE|IGF1|IGF1R|IGF2R|IL1B|INS|INSR|LEP|MAOB|MAPT|MPO|MTHFR|NOS3|NPY|PPARG|SLC2A4|SOD2|TF|TFAM|TNF|TOMM40|TPI1|VEGFA,44.53,76
Plant Preparations,D028321,,Alzheimer Disease,MESH:D000544,therapeutic,A2M|ACHE|BAX|BCHE|BCL2|BDNF|CASP3|CLU|ESR1|F2|GAPDHS|HMOX1|IGF1|IL1B|INS|LEP|NOS3|PPARG|SOD2|TF|TNF|VEGFA,44.51,27
Rivastigmine,D000068836,,Alzheimer Disease,MESH:D000544,therapeutic,ACE|ACHE|BAX|BCHE|BCL2|BDNF|CASP3|CHRNB2|IGF1|INSR|TNF|VEGFA,44.10,17
Apigenin,D047310,520-36-5,Alzheimer Disease,MESH:D000544,therapeutic,A2M|ACE|ACHE|BAX|BCL2|BDNF|CASP3|ESR1|F2|HMOX1|IL1B|LEP|NOS3|PPARG|PTK2B|SLC2A4|SOD2|TNF|VEGFA,43.07,26
Raloxifene Hydrochloride,D020849,,Alzheimer Disease,MESH:D000544,therapeutic,ACE|ACHE|APOE|APP|BAX|BCL2|CALM1|CASP3|CLU|DHCR24|EIF2S1|EPHA1|ESR1|HMOX1|IGF1|IGF2|IL1B|MPO|MTHFR|NOS3|PLAU|PPARG|PYY|SLC2A4|SOD2|TFAM|TNF|VEGFA,39.18,72
Donepezil,D000077265,120011-70-3,Alzheimer Disease,MESH:D000544,therapeutic,ACHE|APP|BACE1|BAX|BCHE|BCL2|BDNF|CASP3|GSK3B|IL1B|MAPT|MPO|TNF,37.96,61
Tadalafil,D000068581,,Alzheimer Disease,MESH:D000544,therapeutic,APP|BAX|BCL2|BDNF|CASP3|GSK3B|HMOX1|IL1B|MAPT|TNF|VEGFA,36.08,49
Ellagic Acid,D004610,476-66-4,Alzheimer Disease,MESH:D000544,therapeutic,ACHE|APP|BAX|BCHE|BCL2|CASP3|HMOX1|IL1B|INPP5D|PPARG|SOD2|TFAM|TNF|VEGFA,33.61,49
Deferoxamine,D003676,70-51-9,Alzheimer Disease,MESH:D000544,therapeutic,APP|BAX|BCL2|BDNF|CASP3|ENO1|GSK3B|HMOX1|IL1B|LEP|PLAU|SLC2A4|SOD2|TF|TNF|TPI1|VEGFA,33.06,49
Biological Products,D001688,,Alzheimer Disease,MESH:D000544,therapeutic,ADAM10|APP|BACE1|BAX|BCL2|BDNF|CASP3|HMOX1|IL1B|PSEN1|TNF,32.42,52
Resveratrol,D000077185,,Alzheimer Disease,MESH:D000544,therapeutic,ACE|ACHE|ADAM10|AMFR|APOC1|APOE|APP|ARC|ATP5F1A|BAX|BCHE|BCL2|BDNF|CASP3|CD2AP|CHRNA7|CLU|CST3|CYP2D6|DPYSL2|EIF2S1|ENO1|EPHA1|ESR1|F2|GSK3B|HMOX1|IDE|IGF1|IGF1R|IGF2|IGF2R|IL1B|INS|INSR|IQCK|LEP|MAOB|MAPT|MIR100|MIR146A|MIR296|MIR375|MIR708|MPO|NECTIN2|NOS3|NPY|PGRMC1|PLAU|PLCG2|PPARG|PRNP|PSEN1|PSEN2|PTK2B|PYY|RELN|SLC2A4|SLC30A6|SOD2|TF|TFAM|TNF|TPI1|VEGFA,32.31,104
Acetylcholine,D000109,51-84-3,Alzheimer Disease,MESH:D000544,therapeutic,ACHE|APOE|APP|BCHE|CHRNA7|CHRNB2|CRH|ESR1|HMOX1|IL1B|INS|LEP|NOS3|SOD2|TNF,32.09,59
Mifepristone,D015735,84371-65-3,Alzheimer Disease,MESH:D000544,therapeutic,ACE|ADAMTS1|APOC1|BAX|BCL2|BDNF|CASP3|CRH|ESR1|GSK3B|HMOX1|IGF1|IGF1R|IL1B|INS|NOS3|PPARG|SOD2|TNF|VEGFA,32.01,24
Minocycline,D008911,10118-90-8,Alzheimer Disease,MESH:D000544,therapeutic,ACHE|APP|ATP5F1A|BACE1|BAX|BCL2|CASP3|EIF2S1|ENO1|GSK3B|IL1B|SOD2|TNF|TREM2|VEGFA,31.51,49
Prodigiosin,D011353,82-89-3,Alzheimer Disease,MESH:D000544,therapeutic,ACHE|BAX|BCL2|BDNF|CASP3|HMOX1|IL1B|TNF,31.14,8
5-Methoxypsoralen,D000078223,484-20-8,Alzheimer Disease,MESH:D000544,therapeutic,APP|BAX|BDNF|CASP3|GSK3B|IL1B|MAPT|NOS3|TNF,31.13,49
Paroxetine,D017374,61869-08-7,Alzheimer Disease,MESH:D000544,therapeutic,APP|ARC|BAX|BCL2|BDNF|CASP3|CYP2D6|HMOX1|IL1B|INS|SOD2|TNF|VEGFA,30.97,49
"Nanotubes, Carbon",D037742,,Alzheimer Disease,MESH:D000544,therapeutic,A2M|ABCA7|ACE|ADAMTS1|AMFR|APH1B|APOE|APP|ATP5F1A|BACE1|BAX|BCHE|BCL2|BDNF|CASP3|CASS4|CD33|CHRNA7|CLU|CST3|DPYSL2|EIF2S1|ENO1|EPHA1|ESR1|GSK3B|HFE|HMOX1|IGF1|IGF1R|IGF2|IGF2R|IL1B|INSR|LEP|MAOB|MAPT|MPO|MTHFR|NECTIN2|NOS3|NPY|PGRMC1|PICALM|PILRA|PLAU|PLCG2|PPARG|PRNP|PSEN1|PSEN2|PTK2B|RELN|SLC2A4|SLC30A6|SOD2|SPRED2|TF|TFAM|TNF|TOMM40|TPI1|TPP1|TREM2|VEGFA|VSNL1,30.96,101
Indomethacin,D007213,53-86-1,Alzheimer Disease,MESH:D000544,therapeutic,A2M|ABI3|ACE|ACHE|ADAM10|ADAMTS1|APOC1|APOE|APP|ATP5F1A|BACE1|BAX|BCHE|BCL2|CASP3|CRH|CST3|DHCR24|ENO1|F2|GAPDHS|GSK3B|HFE|HMOX1|IGF1|IGF1R|IGF2|IL1B|INS|INSR|IQCK|LEP|MAOB|MPO|NCSTN|NOS3|NPY|PICALM|PILRA|PLAU|PPARG|SLC2A4|SOD2|TF|TFAM|TNF|TPI1|TPP1|VEGFA|WWOX,30.83,84
Niacin,D009525,,Alzheimer Disease,MESH:D000544,therapeutic,ACE|ACHE|BDNF|CASP3|HMOX1|IL1B|LEP|MPO|NOS3|PPARG|SLC2A4|SOD2|TNF|VEGFA,30.42,23
Trichlorfon,D014236,52-68-6,Alzheimer Disease,MESH:D000544,therapeutic,A2M|ACHE|APP|BCHE|BCL2|CASP3|IL1B|SOD2|TNF,30.07,49
Cannabidiol,D002185,13956-29-1,Alzheimer Disease,MESH:D000544,therapeutic,ACE|APP|ATP5F1A|BACE1|BAX|BCL2|BDNF|CASP3|CD33|CHRNA7|CLU|CRH|CYP2D6|ESR1|GSK3B|HMOX1|IDE|IL1B|INPP5D|LEP|MAOB|MAPT|MPO|NCSTN|NPY|PPARG|PSEN1|PSEN2|SOD2|TNF|VEGFA|VSNL1|WWOX,29.95,76
Tolonium Chloride,D014048,92-31-9,Alzheimer Disease,MESH:D000544,therapeutic,ACHE|APP|BACE1|GSK3B|MAPT|PSEN1,29.85,53
"6,7-dihydroxyflavone",C485383,,Alzheimer Disease,MESH:D000544,therapeutic,APP|BACE1|BAX|BCL2|BDNF|CASP3|HMOX1,27.73,42
Plant Extracts,D010936,,Alzheimer Disease,MESH:D000544,therapeutic,ACE|ACHE|ADAMTS1|APOE|APP|ARC|ATP5F1A|BACE1|BAX|BCHE|BCL2|BDNF|CASP3|CD2AP|CHRNA7|CYP2D6|DPYSL2|EIF2S1|ESR1|GSK3B|HMOX1|IGF1|IGF1R|IL1B|INS|INSR|LEP|MAOB|MIR296|MPO|NOS3|NPY|PLAU|PLCG2|PPARG|PRNP|PSEN1|PSEN2|PYY|RELN|SLC2A4|SOD2|TF|TFAM|TNF|TOMM40|VEGFA,27.38,91
Galantamine,D005702,357-70-0,Alzheimer Disease,MESH:D000544,therapeutic,ACHE|APP|BAX|BCHE|BCL2|CASP3|CHRNA7|CHRNB2,27.33,50
icariin,C056599,489-32-7,Alzheimer Disease,MESH:D000544,therapeutic,APP|BACE1|BAX|BCL2|CASP3|IGF1|IL1B|NOS3|PPARG|SOD2|TNF|VEGFA,26.22,49
huperzine A,C050426,102518-79-6,Alzheimer Disease,MESH:D000544,therapeutic,ACHE|APP|BAX|BCL2|CASP3|IL1B|TNF,26.12,43
