Chemical Name,Chemical ID,CAS RN,Disease Name,Disease ID,Direct Evidence,Inference Network,Inference Score,Reference Count
cresidine,C013453,120-71-8,Alzheimer Disease,MESH:D000544,,IGF1,3.50,1
Cyclamates,D003494,,Alzheimer Disease,MESH:D000544,,IL1B,3.50,1
Folfox protocol,C410216,,Alzheimer Disease,MESH:D000544,,IGF1R,3.50,1
gambierol,C435770,,Alzheimer Disease,MESH:D000544,,SOD2,3.50,1
leojaponin,C512946,,Alzheimer Disease,MESH:D000544,,IL1B,3.50,1
monocyte locomotion inhibitory factor,C430647,,Alzheimer Disease,MESH:D000544,,IL1B,3.50,1
PF 3845,C557973,,Alzheimer Disease,MESH:D000544,,IL1B,3.50,1
phosphoaspirin,C527365,,Alzheimer Disease,MESH:D000544,,IL1B,3.50,1
Pyrilamine,D011738,91-84-9,Alzheimer Disease,MESH:D000544,,BCHE,3.50,1
quercetagetin,C079163,,Alzheimer Disease,MESH:D000544,,IL1B,3.50,1
Sitosterols,D012855,,Alzheimer Disease,MESH:D000544,,IL1B,3.50,1
furan,C039281,110-00-9,"Alzheimer Disease, Familial, 3, with Spastic Paraparesis and Apraxia",MESH:C564330,,APOE,3.50,1
Methimazole,D008713,60-56-0,"Alzheimer Disease, Familial, 3, with Spastic Paraparesis and Apraxia",MESH:C564330,,APOE,3.50,1
acetamide,C030686,60-35-5,Alzheimer disease type 2,MESH:C536595,,APOE,3.50,1
furan,C039281,110-00-9,Alzheimer disease type 2,MESH:C536595,,APOE,3.50,1
Methimazole,D008713,60-56-0,Alzheimer disease type 2,MESH:C536595,,APOE,3.50,1
acetamide,C030686,60-35-5,Alzheimer disease type 4,MESH:C536596,,APOE,3.50,1
furan,C039281,110-00-9,Alzheimer disease type 4,MESH:C536596,,APOE,3.50,1
Methimazole,D008713,60-56-0,Alzheimer disease type 4,MESH:C536596,,APOE,3.50,1
"1,5-dihydroxyisoquinoline",C095653,5154-02-9,Alzheimer Disease,MESH:D000544,,BCL2,3.49,1
"6-methyl-1,3,8-trichlorodibenzofuran",C054923,115039-00-4,Alzheimer Disease,MESH:D000544,,ESR1,3.49,1
"9H-purine-9-propanamine, 6-amino-8-((6-iodo-1,3-benzodioxol-5-yl)thio)-N-(1-methylethyl)-",C526550,,Alzheimer Disease,MESH:D000544,,BCL2,3.49,1
Androstenols,D000737,,Alzheimer Disease,MESH:D000544,,ESR1,3.49,1
Chlorzoxazone,D002753,95-25-0,Alzheimer Disease,MESH:D000544,,INS,3.49,2
"Contraceptives, Oral, Combined",D003277,,Alzheimer Disease,MESH:D000544,,F2,3.49,1
corynoxine B,C000600670,,Alzheimer Disease,MESH:D000544,,BCL2,3.49,1
Dianhydrogalactitol,D003961,23261-20-3,Alzheimer Disease,MESH:D000544,,VEGFA,3.49,1
G(M3) Ganglioside,D005679,,Alzheimer Disease,MESH:D000544,,BCL2,3.49,1
ifenprodil,C010739,23210-56-2,Alzheimer Disease,MESH:D000544,,BDNF,3.49,1
Methazolamide,D008704,554-57-4,Alzheimer Disease,MESH:D000544,,CLU,3.49,3
monobutyryl cyclic AMP,C002373,13117-60-7,Alzheimer Disease,MESH:D000544,,VEGFA,3.49,1
monomethylpropion,C047806,5650-44-2,Alzheimer Disease,MESH:D000544,,IGF1R,3.49,1
tris(2-ethylhexyl)phosphate,C049232,78-42-2,Alzheimer Disease,MESH:D000544,,ESR1,3.49,1
"2-amino-7-(4-fluoro-2-(6-methoxypyridin-2-yl)phenyl)-4-methyl-7,8-dihydropyrido(4,3-d)pyrimidin-5(6H)-one",C570862,,Alzheimer Disease,MESH:D000544,,CLU,3.48,3
2-chloro-N-(4-chlorobiphenyl-2-yl)nicotinamide,C550088,,Alzheimer Disease,MESH:D000544,,CLU|MIR146A|VEGFA,3.48,6
