drug_name,protein_target,inference_score
Resveratrol,CYP2D6,32.31
Resveratrol,DPYSL2,32.31
Resveratrol,EIF2S1,32.31
Resveratrol,ENO1,32.31
Resveratrol,EPHA1,32.31
Resveratrol,ESR1,32.31
Resveratrol,F2,32.31
Resveratrol,GSK3B,32.31
Resveratrol,HMOX1,32.31
Resveratrol,IDE,32.31
Resveratrol,IGF1,32.31
Resveratrol,IGF1R,32.31
Resveratrol,IGF2,32.31
Resveratrol,IGF2R,32.31
Resveratrol,IL1B,32.31
Resveratrol,INS,32.31
Resveratrol,INSR,32.31
Resveratrol,IQCK,32.31
Resveratrol,LEP,32.31
Resveratrol,MAOB,32.31
Resveratrol,MAPT,32.31
Resveratrol,MPO,32.31
Resveratrol,NECTIN2,32.31
Resveratrol,NOS3,32.31
Resveratrol,NPY,32.31
Resveratrol,PGRMC1,32.31
Resveratrol,PLAU,32.31
Resveratrol,PLCG2,32.31
Resveratrol,PPARG,32.31
Resveratrol,PRNP,32.31
Resveratrol,PSEN1,32.31
Resveratrol,PSEN2,32.31
Resveratrol,PTK2B,32.31
Resveratrol,PYY,32.31
Resveratrol,RELN,32.31
Resveratrol,SLC2A4,32.31
Resveratrol,SLC30A6,32.31
Resveratrol,SOD2,32.31
Resveratrol,TF,32.31
Resveratrol,TFAM,32.31
Resveratrol,TNF,32.31
Resveratrol,TPI1,32.31
Resveratrol,VEGFA,32.31
Acetylcholine,ACHE,32.09
Acetylcholine,APOE,32.09
Acetylcholine,APP,32.09
Acetylcholine,BCHE,32.09
Acetylcholine,CHRNA7,32.09
Acetylcholine,CHRNB2,32.09
Acetylcholine,CRH,32.09
Acetylcholine,ESR1,32.09
Acetylcholine,HMOX1,32.09
Acetylcholine,IL1B,32.09
Acetylcholine,INS,32.09
Acetylcholine,LEP,32.09
Acetylcholine,NOS3,32.09
Acetylcholine,SOD2,32.09
Acetylcholine,TNF,32.09
Mifepristone,ACE,32.01
Mifepristone,ADAMTS1,32.01
Mifepristone,APOC1,32.01
Mifepristone,BAX,32.01
Mifepristone,BCL2,32.01
Mifepristone,BDNF,32.01
Mifepristone,CASP3,32.01
Mifepristone,CRH,32.01
Mifepristone,ESR1,32.01
Mifepristone,GSK3B,32.01
Mifepristone,HMOX1,32.01
Mifepristone,IGF1,32.01
Mifepristone,IGF1R,32.01
Mifepristone,IL1B,32.01
Mifepristone,INS,32.01
Mifepristone,NOS3,32.01
Mifepristone,PPARG,32.01
Mifepristone,SOD2,32.01
Mifepristone,TNF,32.01
Mifepristone,VEGFA,32.01
Minocycline,ACHE,31.51
Minocycline,APP,31.51
Minocycline,ATP5F1A,31.51
Minocycline,BACE1,31.51
Minocycline,BAX,31.51
Minocycline,BCL2,31.51
Minocycline,CASP3,31.51
Minocycline,EIF2S1,31.51
Minocycline,ENO1,31.51
Minocycline,GSK3B,31.51
Minocycline,IL1B,31.51
Minocycline,SOD2,31.51
Minocycline,TNF,31.51
Minocycline,TREM2,31.51
Minocycline,VEGFA,31.51
Prodigiosin,ACHE,31.14
Prodigiosin,BAX,31.14
Prodigiosin,BCL2,31.14
Prodigiosin,BDNF,31.14
Prodigiosin,CASP3,31.14
Prodigiosin,HMOX1,31.14
Prodigiosin,IL1B,31.14
Prodigiosin,TNF,31.14
5-Methoxypsoralen,APP,31.13
5-Methoxypsoralen,BAX,31.13
5-Methoxypsoralen,BDNF,31.13
