drug_name,protein_target,inference_score
Rivastigmine,BDNF,7.37
Rivastigmine,INSR,7.37
Rivastigmine,TNF,7.37
Rasagiline,GDNF,7.34
Rasagiline,MAOB,7.34
Nootkatone,SNCA,7.31
Nootkatone,TH,7.31
Pyridoxine,HMOX1,6.5
Pyridoxine,PPARGC1A,6.5
Pyridoxine,TNF,6.5
Aprepitant,SNCA,5.88
Aprepitant,TH,5.88
Ropinirole,DRD2,5.42
Ropinirole,TNF,5.42
Pramipexole,DRD2,5.39
Pramipexole,PPARGC1A,5.39
Tolcapone,AIF1,4.99
Tolcapone,CP,4.99
Tolcapone,SNCA,4.99
Tolcapone,SOD1,4.99
Tolcapone,SOD2,4.99
Safinamide,MAOB,4.77
Orphenadrine,CYP2E1,4.3
Orphenadrine,GSTP1,4.3
Orphenadrine,HGF,4.3
Orphenadrine,HSPA1A,4.3
Orphenadrine,TRPM2,4.3
Amantadine,BDNF,4.29
Amantadine,MAP2,4.29
Piribedil,DRD2,3.87
Diazepam,BDNF,3.46
Diazepam,HMOX1,3.46
Diazepam,SOD2,3.46
Lisuride,DRD2,3.46
Benztropine,NECTIN2,3.11
Benztropine,SLC38A2,3.11
Benztropine,SLC6A3,3.11
